School DBN,Date,Enrolled,Absent,Present,Released,last_updated
01M015,2018-09-03,173,22,151,0,2018-09-03 00:00:00
02M394,2018-09-03,183,27,156,0,2018-09-03 22:00:00
03K403,2018-09-03,153,16,137,0,2018-09-03 13:00:00
04M409,2018-09-03,156,25,131,0,2018-09-03 15:00:00
05M280,2018-09-03,167,6,161,0,2018-09-03 19:00:00
01M015,2018-09-04,156,16,140,0,2018-09-04 11:00:00
02M394,2018-09-04,176,25,151,0,2018-09-04 11:00:00
03K403,2018-09-04,181,10,171,0,2018-09-04 10:00:00
04M409,2018-09-04,193,25,168,0,2018-09-04 11:00:00
05M280,2018-09-04,190,14,176,0,2018-09-04 14:00:00
01M015,2018-09-05,170,15,155,0,2018-09-05 02:00:00
02M394,2018-09-05,195,21,174,0,2018-09-05 16:00:00
03K403,2018-09-05,167,14,153,0,2018-09-05 15:00:00
04M409,2018-09-05,164,10,154,0,2018-09-05 01:00:00
05M280,2018-09-05,168,14,154,0,2018-09-05 06:00:00
01M015,2018-09-06,159,28,131,0,2018-09-06 20:00:00
02M394,2018-09-06,157,26,131,0,2018-09-06 05:00:00
03K403,2018-09-06,153,22,131,0,2018-09-06 23:00:00
04M409,2018-09-06,159,7,152,0,2018-09-06 16:00:00
05M280,2018-09-06,179,20,159,0,2018-09-06 12:00:00
01M015,2018-09-07,150,25,125,0,2018-09-07 07:00:00
02M394,2018-09-07,166,15,151,0,2018-09-07 11:00:00
03K403,2018-09-07,189,29,160,0,2018-09-07 00:00:00
04M409,2018-09-07,183,12,171,0,2018-09-07 10:00:00
05M280,2018-09-07,158,30,128,0,2018-09-07 08:00:00
01M015,2018-09-10,169,29,140,0,2018-09-10 22:00:00
02M394,2018-09-10,172,16,156,0,2018-09-10 01:00:00
03K403,2018-09-10,175,30,145,0,2018-09-10 15:00:00
04M409,2018-09-10,187,29,158,0,2018-09-10 05:00:00
05M280,2018-09-10,183,24,159,0,2018-09-10 04:00:00
01M015,2018-09-11,182,23,159,0,2018-09-11 21:00:00
02M394,2018-09-11,152,5,147,0,2018-09-11 12:00:00
03K403,2018-09-11,173,14,159,0,2018-09-11 15:00:00
04M409,2018-09-11,178,12,166,0,2018-09-11 23:00:00
05M280,2018-09-11,157,28,129,0,2018-09-11 10:00:00
01M015,2018-09-12,154,30,124,0,2018-09-12 11:00:00
02M394,2018-09-12,155,15,140,0,2018-09-12 06:00:00
03K403,2018-09-12,184,30,154,0,2018-09-12 04:00:00
04M409,2018-09-12,150,10,140,0,2018-09-12 20:00:00
05M280,2018-09-12,161,30,131,0,2018-09-12 06:00:00
01M015,2018-09-13,168,23,145,0,2018-09-13 03:00:00
02M394,2018-09-13,169,7,162,0,2018-09-13 02:00:00
03K403,2018-09-13,177,12,165,0,2018-09-13 12:00:00
04M409,2018-09-13,193,17,176,0,2018-09-13 18:00:00
05M280,2018-09-13,195,16,179,0,2018-09-13 03:00:00
01M015,2018-09-14,164,22,142,0,2018-09-14 02:00:00
02M394,2018-09-14,182,11,171,0,2018-09-14 19:00:00
03K403,2018-09-14,151,30,121,0,2018-09-14 22:00:00
04M409,2018-09-14,151,12,139,0,2018-09-14 18:00:00
05M280,2018-09-14,199,20,179,0,2018-09-14 14:00:00
