School_DBN,School_Level,Date,Weekday,Enrolled,Present,Absent,Attendance_Rate,Released,last_updated
01M015,Middle School,2018-09-17,Monday,180,169,11,93.89,0,2018-09-17 22:00:00
02M394,Middle School,2018-09-17,Monday,161,156,5,96.89,0,2018-09-17 01:00:00
03K403,Elementary School,2018-09-17,Monday,175,170,5,97.14,0,2018-09-17 09:00:00
04M409,Middle School,2018-09-17,Monday,188,168,20,89.36,0,2018-09-17 02:00:00
05M280,Middle School,2018-09-17,Monday,181,173,8,95.58,0,2018-09-17 18:00:00
01M015,Middle School,2018-09-18,Tuesday,161,148,13,91.93,0,2018-09-18 03:00:00
02M394,Middle School,2018-09-18,Tuesday,150,124,26,82.67,0,2018-09-18 16:00:00
03K403,Elementary School,2018-09-18,Tuesday,194,180,14,92.78,0,2018-09-18 07:00:00
04M409,Middle School,2018-09-18,Tuesday,188,165,23,87.77,0,2018-09-18 05:00:00
05M280,Middle School,2018-09-18,Tuesday,176,147,29,83.52,0,2018-09-18 08:00:00
01M015,Middle School,2018-09-19,Wednesday,179,174,5,97.21,0,2018-09-19 19:00:00
02M394,Middle School,2018-09-19,Wednesday,177,164,13,92.66,0,2018-09-19 05:00:00
03K403,Elementary School,2018-09-19,Wednesday,192,172,20,89.58,0,2018-09-19 05:00:00
04M409,Middle School,2018-09-19,Wednesday,152,134,18,88.16,0,2018-09-19 08:00:00
05M280,Middle School,2018-09-19,Wednesday,168,155,13,92.26,0,2018-09-19 04:00:00
01M015,Middle School,2018-09-20,Thursday,176,153,23,86.93,0,2018-09-20 02:00:00
02M394,Middle School,2018-09-20,Thursday,180,175,5,97.22,0,2018-09-20 01:00:00
03K403,Elementary School,2018-09-20,Thursday,195,184,11,94.36,0,2018-09-20 10:00:00
04M409,Middle School,2018-09-20,Thursday,171,160,11,93.57,0,2018-09-20 02:00:00
05M280,Middle School,2018-09-20,Thursday,190,162,28,85.26,0,2018-09-20 08:00:00
01M015,Middle School,2018-09-21,Friday,165,142,23,86.06,0,2018-09-21 15:00:00
02M394,Middle School,2018-09-21,Friday,186,165,21,88.71,0,2018-09-21 21:00:00
03K403,Elementary School,2018-09-21,Friday,188,178,10,94.68,0,2018-09-21 21:00:00
04M409,Middle School,2018-09-21,Friday,177,166,11,93.79,0,2018-09-21 05:00:00
05M280,Middle School,2018-09-21,Friday,160,148,12,92.5,0,2018-09-21 10:00:00
01M015,Middle School,2018-09-24,Monday,165,135,30,81.82,0,2018-09-24 00:00:00
02M394,Middle School,2018-09-24,Monday,190,176,14,92.63,0,2018-09-24 21:00:00
03K403,Elementary School,2018-09-24,Monday,197,170,27,86.29,0,2018-09-24 09:00:00
04M409,Middle School,2018-09-24,Monday,174,149,25,85.63,0,2018-09-24 03:00:00
05M280,Middle School,2018-09-24,Monday,171,148,23,86.55,0,2018-09-24 01:00:00
01M015,Middle School,2018-09-25,Tuesday,188,163,25,86.7,0,2018-09-25 18:00:00
02M394,Middle School,2018-09-25,Tuesday,199,191,8,95.98,0,2018-09-25 02:00:00
03K403,Elementary School,2018-09-25,Tuesday,154,134,20,87.01,0,2018-09-25 13:00:00
04M409,Middle School,2018-09-25,Tuesday,192,175,17,91.15,0,2018-09-25 06:00:00
05M280,Middle School,2018-09-25,Tuesday,196,166,30,84.69,0,2018-09-25 16:00:00
01M015,Middle School,2018-09-26,Wednesday,168,161,7,95.83,0,2018-09-26 10:00:00
02M394,Middle School,2018-09-26,Wednesday,196,187,9,95.41,0,2018-09-26 16:00:00
03K403,Elementary School,2018-09-26,Wednesday,158,146,12,92.41,0,2018-09-26 05:00:00
04M409,Middle School,2018-09-26,Wednesday,179,149,30,83.24,0,2018-09-26 15:00:00
05M280,Middle School,2018-09-26,Wednesday,200,176,24,88.0,0,2018-09-26 17:00:00
01M015,Middle School,2018-09-27,Thursday,173,161,12,93.06,0,2018-09-27 09:00:00
02M394,Middle School,2018-09-27,Thursday,190,164,26,86.32,0,2018-09-27 01:00:00
03K403,Elementary School,2018-09-27,Thursday,179,159,20,88.83,0,2018-09-27 09:00:00
04M409,Middle School,2018-09-27,Thursday,185,157,28,84.86,0,2018-09-27 08:00:00
05M280,Middle School,2018-09-27,Thursday,182,153,29,84.07,0,2018-09-27 20:00:00
01M015,Middle School,2018-09-28,Friday,184,155,29,84.24,0,2018-09-28 21:00:00
02M394,Middle School,2018-09-28,Friday,159,139,20,87.42,0,2018-09-28 02:00:00
03K403,Elementary School,2018-09-28,Friday,187,172,15,91.98,0,2018-09-28 17:00:00
04M409,Middle School,2018-09-28,Friday,173,166,7,95.95,0,2018-09-28 14:00:00
05M280,Middle School,2018-09-28,Friday,158,148,10,93.67,0,2018-09-28 23:00:00
